# v_kmh  phi=0.00,T=2s  phi=0.25,T=2s  phi=0.50,T=2s  phi=1.00,T=2s  phi=0.50,T=10s  phi=1.00,T=10s
45 6.99 13.24 19.49 31.99 69.49 131.99
46 7.15 13.53 19.92 32.70 71.03 134.92
47 7.30 13.83 20.36 33.41 72.58 137.86
48 7.46 14.12 20.79 34.12 74.12 140.79
49 7.61 14.42 21.22 34.83 75.67 143.72
50 7.77 14.71 21.66 35.54 77.21 146.66
51 7.92 15.01 22.09 36.26 78.76 149.59
52 8.08 15.30 22.52 36.97 80.30 152.52
53 8.23 15.59 22.96 37.68 81.84 155.46
54 8.39 15.89 23.39 38.39 83.39 158.39
55 8.54 16.18 23.82 39.10 84.93 161.32
56 8.70 16.48 24.25 39.81 86.48 164.25
57 8.85 16.77 24.69 40.52 88.02 167.19
58 9.01 17.07 25.12 41.23 89.57 170.12
59 9.16 17.36 25.55 41.94 91.11 173.05
60 9.32 17.65 25.99 42.65 92.65 175.99
61 9.48 17.95 26.42 43.36 94.20 178.92
62 9.63 18.24 26.85 44.08 95.74 181.85
63 9.79 18.54 27.29 44.79 97.29 184.79
64 9.94 18.83 27.72 45.50 98.83 187.72
65 10.10 19.12 28.15 46.21 100.37 190.65
66 10.25 19.42 28.59 46.92 101.92 193.59
67 10.41 19.71 29.02 47.63 103.46 196.52
68 10.56 20.01 29.45 48.34 105.01 199.45
69 10.72 20.30 29.88 49.05 106.55 202.38
70 10.87 20.60 30.32 49.76 108.10 205.32
71 11.03 20.89 30.75 50.47 109.64 208.25
72 11.18 21.18 31.18 51.18 111.18 211.18
73 11.34 21.48 31.62 51.90 112.73 214.12
74 11.49 21.77 32.05 52.61 114.27 217.05
75 11.65 22.07 32.48 53.32 115.82 219.98
76 11.81 22.36 32.92 54.03 117.36 222.92
77 11.96 22.66 33.35 54.74 118.91 225.85
78 12.12 22.95 33.78 55.45 120.45 228.78
79 12.27 23.24 34.22 56.16 121.99 231.72
80 12.43 23.54 34.65 56.87 123.54 234.65
81 12.58 23.83 35.08 57.58 125.08 237.58
82 12.74 24.13 35.52 58.29 126.63 240.52
83 12.89 24.42 35.95 59.00 128.17 243.45
84 13.05 24.71 36.38 59.71 129.71 246.38
85 13.20 25.01 36.81 60.43 131.26 249.31
86 13.36 25.30 37.25 61.14 132.80 252.25
87 13.51 25.60 37.68 61.85 134.35 255.18
88 13.67 25.89 38.11 62.56 135.89 258.11
89 13.82 26.19 38.55 63.27 137.44 261.05
90 13.98 26.48 38.98 63.98 138.98 263.98
91 14.14 26.77 39.41 64.69 140.52 266.91
92 14.29 27.07 39.85 65.40 142.07 269.85
93 14.45 27.36 40.28 66.11 143.61 272.78
94 14.60 27.66 40.71 66.82 145.16 275.71
95 14.76 27.95 41.15 67.53 146.70 278.65
96 14.91 28.25 41.58 68.25 148.25 281.58
97 15.07 28.54 42.01 68.96 149.79 284.51
98 15.22 28.83 42.45 69.67 151.33 287.45
99 15.38 29.13 42.88 70.38 152.88 290.38
100 15.53 29.42 43.31 71.09 154.42 293.31
101 15.69 29.72 43.74 71.80 155.97 296.24
102 15.84 30.01 44.18 72.51 157.51 299.18
103 16.00 30.31 44.61 73.22 159.06 302.11
104 16.15 30.60 45.04 73.93 160.60 305.04
105 16.31 30.89 45.48 74.64 162.14 307.98
106 16.47 31.19 45.91 75.35 163.69 310.91
107 16.62 31.48 46.34 76.07 165.23 313.84
108 16.78 31.78 46.78 76.78 166.78 316.78
109 16.93 32.07 47.21 77.49 168.32 319.71
110 17.09 32.36 47.64 78.20 169.86 322.64
111 17.24 32.66 48.08 78.91 171.41 325.58
112 17.40 32.95 48.51 79.62 172.95 328.51
113 17.55 33.25 48.94 80.33 174.50 331.44
114 17.71 33.54 49.37 81.04 176.04 334.37
115 17.86 33.84 49.81 81.75 177.59 337.31
