# MODELLED grid from the pilot ECDF; the measured grid is envelope_grid_measured.dat (analyse.py)
# speed_kmh distance_m phase p_hil p_ideal
50 20 0.0 1.0000 1.0000
50 20 0.25 1.0000 1.0000
50 20 0.5 0.6200 1.0000
50 20 0.75 0.0000 1.0000
50 20 1.0 0.0000 1.0000
50 50 0.0 1.0000 1.0000
50 50 0.25 1.0000 1.0000
50 50 0.5 1.0000 1.0000
50 50 0.75 1.0000 1.0000
50 50 1.0 1.0000 1.0000
50 100 0.0 1.0000 1.0000
50 100 0.25 1.0000 1.0000
50 100 0.5 1.0000 1.0000
50 100 0.75 1.0000 1.0000
50 100 1.0 1.0000 1.0000
50 150 0.0 1.0000 1.0000
50 150 0.25 1.0000 1.0000
50 150 0.5 1.0000 1.0000
50 150 0.75 1.0000 1.0000
50 150 1.0 1.0000 1.0000
80 20 0.0 1.0000 1.0000
80 20 0.25 0.4000 1.0000
80 20 0.5 0.0000 1.0000
80 20 0.75 0.0000 1.0000
80 20 1.0 0.0000 1.0000
80 50 0.0 1.0000 1.0000
80 50 0.25 1.0000 1.0000
80 50 0.5 1.0000 1.0000
80 50 0.75 1.0000 1.0000
80 50 1.0 0.0000 1.0000
80 100 0.0 1.0000 1.0000
80 100 0.25 1.0000 1.0000
80 100 0.5 1.0000 1.0000
80 100 0.75 1.0000 1.0000
80 100 1.0 1.0000 1.0000
80 150 0.0 1.0000 1.0000
80 150 0.25 1.0000 1.0000
80 150 0.5 1.0000 1.0000
80 150 0.75 1.0000 1.0000
80 150 1.0 1.0000 1.0000
110 20 0.0 1.0000 1.0000
110 20 0.25 0.0000 1.0000
110 20 0.5 0.0000 1.0000
110 20 0.75 0.0000 1.0000
110 20 1.0 0.0000 1.0000
110 50 0.0 1.0000 1.0000
110 50 0.25 1.0000 1.0000
110 50 0.5 1.0000 1.0000
110 50 0.75 0.0000 1.0000
110 50 1.0 0.0000 1.0000
110 100 0.0 1.0000 1.0000
110 100 0.25 1.0000 1.0000
110 100 0.5 1.0000 1.0000
110 100 0.75 1.0000 1.0000
110 100 1.0 1.0000 1.0000
110 150 0.0 1.0000 1.0000
110 150 0.25 1.0000 1.0000
110 150 0.5 1.0000 1.0000
110 150 0.75 1.0000 1.0000
110 150 1.0 1.0000 1.0000
